# Start logging at 2021-01-11 21:32:40 E. South America Standard Time
[21:32:40] disconnected
[22:34:09]  flaamie: kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
[22:34:09]  gigio_____: lkkkkkkkkkkkkkkkkkkkk
[22:34:11]  vert1999: kkkkkkkkkkkk
[22:34:11]  hierx: Kkkjkk
[22:34:11]  zleeonardo: <3 <3 kkkkkkk
[22:34:12]  carlosedba: mto bom
[22:34:13]  tedthegr8: Cheer1 meu deus
[22:34:15]  gabrielfew: hayaDPP hayaDPP hayaDPP
[22:34:17]  bmw_barata: kkkkkkkkkkkkk
[22:34:18]  tedthegr8: Cheer1 sô7
[22:34:19]  ronico22: kkkkkkkkkkkkkkkkkk muito bom
[22:34:20]  jhonnick: mano do céu
[22:34:22]  jaoj_: @BruninhoSO7 https://www.youtube.com/watch?v=2buyLggRoSw assiste enquanto o velho abre a live
[22:34:23]  fernandosini: vai ficar sem os 20tao
[22:34:26]  hierx: lindo
[22:34:36]  tedthegr8: Cheer1 FAAALAAA GAAALEEEEEERAA BRUUNINHOO SOO SEETI DI VOOOLTA TUUDO BELEZAAH
[22:34:36]  badwolfinho: Cheer20 vinte bits ai toma
[22:34:42]  jhonnick: Caraí, eu tava zoando, mais depois dessa vou até descolar mesmo ahushaiahaaj
[22:34:44]  tron_black: KKK
[22:34:48]  rednitro7: https://clips.twitch.tv/ShySpotlessArmadilloThisIsSparta
[22:34:51]  jaoj_: é muito merda
[22:34:56]  abraaum_pc: @BruninhoSO7 ja viu o 2020 em 1 musica do inultilismo?
[22:35:00]  tedthegr8: Cheer1 fiquei muito feliz
[22:35:05]  zleeonardo: https://clips.twitch.tv/EmpathicInexpensiveBeanCoolCat
[22:35:06]  tiubigode: boa noite So7nho lindo <3
[22:35:09]  badwolfinho: Se n foi esperto calvo, ai nego abusa
[22:35:12]  gryffih: ta facin?
[22:35:16]  jhonnick: @badwolfinho brigado mano kkkkkkk
[22:35:16]  bruno13valerio: b
[22:35:17]  ironpower1337: soa
[22:35:23]  ironpower1337: espetácular
[22:35:29]  badwolfinho: @Jhonnick tamo ai
[22:35:43]  tedthegr8: Cheer1 gozei
[22:35:48]  tiubigode: KKKKKKKKKKKKKKKKKKKKKKKKKKKKK
[22:35:52]  rednitro7: a risada igual KEKW
[22:35:53]  flavi0lud0v1c0: ahhh que delícia
[22:35:57]  jaoj_: @BruninhoSO7 https://www.youtube.com/watch?v=2buyLggRoSw assiste enquanto o velho abre a live
[22:35:59]  gustavobonacin: a risada sincronizada com o vod
[22:36:02]  gustavobonacin: mt bom jskahjjks
[22:36:06]  iagosbroglio: kkkkkkkkkkkkk
[22:36:11]  jhonnick: para véi, é muito bom
[22:36:16]  lucasliposki: salve
[22:36:19]  tedthegr8: Cheer1 deus pode vir me buscar, pois já estou satisfeito com a vida
[22:36:26]  jaoj_: ahhhhhhhhhhhh não, VAI TOMAR NO CU COLONO kkkkkkkkkkkkkkkkkkk
[22:36:30]  hierx: dois velhos
[22:36:56]  hierx: jmm
[22:36:59]  sarorafael: Somando a idade dessa call da mais de 300 anos
[22:37:23]  zleeonardo: @SaroRafael 300 o colono tem em uma perna
[22:37:31]  sarorafael: KAKAKAKAKAKKAKAKAKAKA
[22:37:41]  kob44: 7dias meu deus em
[22:37:46]  kob44: kkkkkk
[22:37:51]  vert1999: o colono tá dormindo até agr rsrs
[22:37:57]  phfut3: tem que jogar o 6 tbm
[22:38:00]  lobofrenetico: Kkkkkkk
[22:38:08]  gigio_____: perae so7, heist do cassino na quinta
[22:38:26]  mudeimeunome: Boa noite so7
[22:38:26]  badwolfinho: O velho tem sempre que trabalha
[22:38:49]  jefff: tbm nao
[22:39:02]  gabrielfew: Gmod
[22:39:03]  viktorjuao: 720 travando mt
[22:39:04]  badwolfinho: Porra de amongus ai n, pummel hype
[22:39:09]  tiubigode: tem que jogar Gmod, isso sim
[22:39:10]  gabrielfew: sdds GMOD
[22:39:12]  lobofrenetico: Final de desembro
[22:39:12]  fernandosini: novembro
[22:39:12]  badwolfinho: Ultimos 6 meses
[22:39:15]  gigio_____: janeiro de 2019
[22:39:17]  tedthegr8: Cheer1 sô7, obrigado por isso. tô enchendo o saco tem tempo, mas essa abertura fez muito bem pra mim. renovou minhas energias mentais. pq o corpo continua derrotado
[22:39:17]  zypeex: 5 - 6 meses
[22:39:20]  badwolfinho: GMOD e Pummel >>>>>
[22:39:20]  hannigust: Dezembro ou novembro teve pummel
[22:39:20]  tiubigode: pra ter aquela risada gostosa
[22:39:36]  tedthegr8: Cheer1 preciso ir dormir. boa live. durma bem, que amanhã seja melhor que hoje
